tid,name,num,ts,grade,lng,lat,dist_km
3326569,科罗旺,2624,202609010000,TS,132,22.5,1420.9
3326569,科罗旺,2624,202609010300,TS,132.1,22.5,1428.8
3326569,科罗旺,2624,202609010600,TS,132.1,22.5,1428.8
3326569,科罗旺,2624,202609010900,TS,132.1,22.6,1422.5
3326569,科罗旺,2624,202609011200,TS,132.2,22.7,1424.2
3326569,科罗旺,2624,202609011500,TS,132.2,22.8,1418.0
3326569,科罗旺,2624,202609011800,TS,132.2,22.9,1411.9
3326569,科罗旺,2624,202609012100,TS,132.2,22.9,1411.9
3326569,科罗旺,2624,202609020000,TS,132.1,23,1397.8
3326569,科罗旺,2624,202609020300,TS,132,23.2,1377.6
3326569,科罗旺,2624,202609020600,TS,132,23.5,1360.0
3326569,科罗旺,2624,202609020900,TS,131.8,23.7,1332.1
3326569,科罗旺,2624,202609021200,TS,131.5,23.7,1307.4
3326569,科罗旺,2624,202609021500,TS,131.4,24,1282.0
3326569,科罗旺,2624,202609021800,TS,131.3,24.3,1257.0
3326569,科罗旺,2624,202609022100,TS,130.8,25,1177.7
3326569,科罗旺,2624,202609030000,TS,130.5,25.4,1131.9
3326569,科罗旺,2624,202609030300,TS,129.4,26.9,969.3
3326569,科罗旺,2624,202609030600,TS,129.1,27.1,934.7
3326569,科罗旺,2624,202609030900,TS,129.1,27.3,927.6
3326569,科罗旺,2624,202609031200,TS,129.1,27.6,917.9
3326569,科罗旺,2624,202609031500,TS,128.9,28.5,876.7
3326569,科罗旺,2624,202609031800,TS,128.3,29,811.4
3326569,科罗旺,2624,202609032100,TS,128.1,29.2,789.9
3326569,科罗旺,2624,202609040000,TS,128,29.5,777.9
3326569,科罗旺,2624,202609040300,TS,128,29.7,777.0
3326569,科罗旺,2624,202609040600,TS,127.4,29.8,719.1
3326569,科罗旺,2624,202609040900,TS,127.2,29.2,703.7
3326569,科罗旺,2624,202609041200,TS,127.4,28.8,728.8
3326569,科罗旺,2624,202609041500,TS,127.4,28.6,732.7
3326569,科罗旺,2624,202609041800,TS,127.1,28.4,709.2
3326569,科罗旺,2624,202609042100,TS,126.5,28.1,662.2
3326569,科罗旺,2624,202609050000,TS,127.2,27.9,733.1
3326569,科罗旺,2624,202609050300,TS,127.2,27.5,747.6
3326569,科罗旺,2624,202609050600,TS,127.2,26.8,778.3
3326569,科罗旺,2624,202609050900,TS,127.7,26,862.5
3326569,科罗旺,2624,202609051200,TS,128.1,25.8,906.9
3326569,科罗旺,2624,202609051500,TS,128.4,25.5,948.7
3326569,科罗旺,2624,202609051800,TS,128.5,25.5,957.0
3326569,科罗旺,2624,202609052100,TS,129.3,25.4,1029.4
3326569,科罗旺,2624,202609060000,TS,129.5,25.6,1035.9
3326569,科罗旺,2624,202609060300,TS,129.6,25.7,1039.5
3326569,科罗旺,2624,202609060600,TS,130.2,25.7,1091.5
3326569,科罗旺,2624,202609060900,TS,130.7,25.7,1135.3
3326569,科罗旺,2624,202609061200,TS,130.9,25.8,1148.5
3326569,科罗旺,2624,202609061500,TS,131.1,25.8,1166.2
3326569,科罗旺,2624,202609061800,TS,131.5,26,1193.6
3326569,科罗旺,2624,202609062100,TS,131.7,26.2,1203.9
3326569,科罗旺,2624,202609070000,TD,132.1,26.5,1229.7
3322248,班朗,2623,202608280600,TS,165.9,19.4,4574.9
3322248,班朗,2623,202608280900,TS,165.7,19.6,4550.7
3322248,班朗,2623,202608281200,TS,165.8,19.8,4554.5
3322248,班朗,2623,202608281500,TS,166.5,20,4614.5
3322248,班朗,2623,202608281800,TS,166.8,20.6,4627.3
3322248,班朗,2623,202608282100,STS,167.3,21.3,4657.8
3322248,班朗,2623,202608290000,STS,167.8,22.1,4687.7
3322248,班朗,2623,202608290300,TY,168.2,23,4708.4
3322248,班朗,2623,202608290600,TY,168.3,23.8,4704.3
3322248,班朗,2623,202608290900,TY,168.4,24.5,4703.4
3322248,班朗,2623,202608291200,TY,168.5,25.1,4705.0
3322248,班朗,2623,202608291500,STS,168.7,26.2,4712.0
3322248,班朗,2623,202608291800,STS,168.6,27.9,4689.8
3322248,班朗,2623,202608292100,TS,168.3,29.2,4656.4
3322248,班朗,2623,202608300000,TS,168.1,30.4,4637.0
3322248,班朗,2623,202608300300,TS,168,31.4,4630.1
3322248,班朗,2623,202608300600,TS,167.7,32.8,4609.6
3322248,班朗,2623,202608300900,TS,167.3,33.7,4579.4
3322248,班朗,2623,202608301200,TS,166.7,34.2,4527.4
3322248,班朗,2623,202608301500,TS,166.2,34.9,4488.6
3322248,班朗,2623,202608301800,TS,165.4,35.7,4424.3
3322248,班朗,2623,202608302100,TS,165.4,36.2,4432.7
3319901,艾涛,2622,202608270600,TS,168.3,21.4,4749.8
3319901,艾涛,2622,202608270900,TS,168.5,21.9,4758.0
3319901,艾涛,2622,202608271200,TS,168.3,22.1,4735.0
3319901,艾涛,2622,202608271500,TS,168.1,22.4,4710.1
3319901,艾涛,2622,202608271800,TS,168.2,22.7,4713.9
3319901,艾涛,2622,202608272100,TS,168,23.2,4685.8
3319901,艾涛,2622,202608280000,TS,168.3,23.8,4704.3
3319901,艾涛,2622,202608280300,TS,167.5,24.3,4620.4
3319901,艾涛,2622,202608280600,TS,166.8,24.6,4549.2
3319901,艾涛,2622,202608280900,TS,166.6,24.8,4527.3
3319901,艾涛,2622,202608281200,TS,166.5,25.1,4513.7
3319901,艾涛,2622,202608281500,TS,166.5,25.7,4506.4
3319901,艾涛,2622,202608281800,TS,166.5,26.3,4500.1
3319901,艾涛,2622,202608282100,TS,166,26.3,4452.1
3319901,艾涛,2622,202608290000,TS,165.8,26.2,4433.9
3319901,艾涛,2622,202608290300,TS,165.9,27,4436.3
3319901,艾涛,2622,202608290600,TS,165.5,28,4391.2
3319901,艾涛,2622,202608290900,TS,165.7,29.1,4406.4
3319901,艾涛,2622,202608291200,TS,165.5,29.8,4386.3
3319901,艾涛,2622,202608291500,TS,165,30.5,4338.8
3319901,艾涛,2622,202608291800,TS,165,30.6,4338.9
3319901,艾涛,2622,202608292100,TS,164.9,30.9,4330.1
3319901,艾涛,2622,202608300000,TS,164.6,31.1,4301.9
3319901,艾涛,2622,202608300300,TS,164.8,30.9,4320.5
3319901,艾涛,2622,202608300600,TS,165.1,30.9,4349.3
3319901,艾涛,2622,202608300900,TS,165.3,31,4368.9
3319901,艾涛,2622,202608301200,TS,165.8,31.1,4417.3
3319901,艾涛,2622,202608301500,TS,166.3,31.3,4466.1
3319901,艾涛,2622,202608301800,TS,166.9,31.7,4525.6
3314447,艾莎尼,2621,202608240000,TS,137.2,15.2,2327.0
3314447,艾莎尼,2621,202608240300,TS,137.5,15.4,2332.4
3314447,艾莎尼,2621,202608240600,TS,138.1,16,2330.0
3314447,艾莎尼,2621,202608240900,TS,138,16.3,2300.9
3314447,艾莎尼,2621,202608241200,TS,138,16.7,2272.1
