sample_ts,zh,zm,sw
2025-06-14T00:05:00,70101500,富春江电站(坝上),23.24
2025-06-14T00:05:00,70101501,富春江坝下,7.65
2025-06-14T00:05:00,70101800,窄溪,5.17
2025-06-14T00:05:00,70102300,闸口,4.75
2025-06-14T00:05:00,7010AJ33,渌渚,5.2
2025-06-14T00:05:00,7011AJ4M,新桐乡,5.1
2025-06-14T00:05:00,7011AJ5M,渌渚镇,6.54
2025-06-14T00:05:00,7011AJ7R,山溪叶家,50.18
2025-06-14T00:05:00,7011AJ8R,山溪幕下,65.59
2025-06-14T00:05:00,7011AJ9R,山溪前桐,194.12
2025-06-14T00:05:00,7011AM2G,富春江水库严陵坞,23.31
2025-06-14T00:10:00,70101500,富春江电站(坝上),23.25
2025-06-14T00:10:00,70101501,富春江坝下,7.65
2025-06-14T00:10:00,70101800,窄溪,5.17
2025-06-14T00:10:00,70102300,闸口,4.74
2025-06-14T00:10:00,7010AJ33,渌渚,5.2
2025-06-14T00:10:00,7011AJ4M,新桐乡,5.1
2025-06-14T00:10:00,7011AJ5M,渌渚镇,6.54
2025-06-14T00:10:00,7011AJ7R,山溪叶家,50.18
2025-06-14T00:10:00,7011AJ8R,山溪幕下,65.59
2025-06-14T00:10:00,7011AJ9R,山溪前桐,194.14
2025-06-14T00:10:00,7011AM2G,富春江水库严陵坞,23.33
2025-06-14T00:15:00,70101500,富春江电站(坝上),23.25
2025-06-14T00:15:00,70101501,富春江坝下,7.66
2025-06-14T00:15:00,70101800,窄溪,5.17
2025-06-14T00:15:00,70102300,闸口,4.74
2025-06-14T00:15:00,7010AJ33,渌渚,5.2
2025-06-14T00:15:00,7011AJ4M,新桐乡,5.11
2025-06-14T00:15:00,7011AJ5M,渌渚镇,6.54
2025-06-14T00:15:00,7011AJ7R,山溪叶家,50.18
2025-06-14T00:15:00,7011AJ8R,山溪幕下,65.6
2025-06-14T00:15:00,7011AJ9R,山溪前桐,194.14
2025-06-14T00:15:00,7011AM2G,富春江水库严陵坞,23.33
2025-06-14T00:20:00,70101500,富春江电站(坝上),23.25
2025-06-14T00:20:00,70101501,富春江坝下,7.65
2025-06-14T00:20:00,70101800,窄溪,5.17
2025-06-14T00:20:00,70102300,闸口,4.74
2025-06-14T00:20:00,7010AJ33,渌渚,5.22
2025-06-14T00:20:00,7011AJ4M,新桐乡,5.11
2025-06-14T00:20:00,7011AJ5M,渌渚镇,6.54
2025-06-14T00:20:00,7011AJ7R,山溪叶家,50.18
2025-06-14T00:20:00,7011AJ8R,山溪幕下,65.6
2025-06-14T00:20:00,7011AJ9R,山溪前桐,194.12
2025-06-14T00:20:00,7011AM2G,富春江水库严陵坞,23.33
2025-06-14T00:25:00,70101500,富春江电站(坝上),23.26
2025-06-14T00:25:00,70101501,富春江坝下,7.65
2025-06-14T00:25:00,70101800,窄溪,5.17
2025-06-14T00:25:00,70102300,闸口,4.73
2025-06-14T00:25:00,7010AJ33,渌渚,5.22
2025-06-14T00:25:00,7011AJ4M,新桐乡,5.11
2025-06-14T00:25:00,7011AJ5M,渌渚镇,6.54
2025-06-14T00:25:00,7011AJ7R,山溪叶家,50.18
2025-06-14T00:25:00,7011AJ8R,山溪幕下,65.59
2025-06-14T00:25:00,7011AJ9R,山溪前桐,194.13
2025-06-14T00:25:00,7011AM2G,富春江水库严陵坞,23.34
2025-06-14T00:30:00,70101500,富春江电站(坝上),23.27
2025-06-14T00:30:00,70101501,富春江坝下,7.65
2025-06-14T00:30:00,70101800,窄溪,5.17
2025-06-14T00:30:00,70102300,闸口,4.73
2025-06-14T00:30:00,7010AJ33,渌渚,5.22
2025-06-14T00:30:00,7011AJ4M,新桐乡,5.1
2025-06-14T00:30:00,7011AJ5M,渌渚镇,6.54
2025-06-14T00:30:00,7011AJ7R,山溪叶家,50.18
2025-06-14T00:30:00,7011AJ8R,山溪幕下,65.6
2025-06-14T00:30:00,7011AJ9R,山溪前桐,194.13
2025-06-14T00:30:00,7011AM2G,富春江水库严陵坞,23.35
2025-06-14T00:35:00,70101500,富春江电站(坝上),23.3
2025-06-14T00:35:00,70101501,富春江坝下,7.65
2025-06-14T00:35:00,70101800,窄溪,5.17
2025-06-14T00:35:00,70102300,闸口,4.73
2025-06-14T00:35:00,7010AJ33,渌渚,5.22
2025-06-14T00:35:00,7011AJ4M,新桐乡,5.1
2025-06-14T00:35:00,7011AJ5M,渌渚镇,6.54
2025-06-14T00:35:00,7011AJ7R,山溪叶家,50.18
2025-06-14T00:35:00,7011AJ8R,山溪幕下,65.59
2025-06-14T00:35:00,7011AJ9R,山溪前桐,194.13
2025-06-14T00:35:00,7011AM2G,富春江水库严陵坞,23.36
2025-06-14T00:40:00,70101500,富春江电站(坝上),23.3
2025-06-14T00:40:00,70101501,富春江坝下,7.65
2025-06-14T00:40:00,70101800,窄溪,5.18
2025-06-14T00:40:00,70102300,闸口,4.73
2025-06-14T00:40:00,7010AJ33,渌渚,5.22
2025-06-14T00:40:00,7011AJ4M,新桐乡,5.1
2025-06-14T00:40:00,7011AJ5M,渌渚镇,6.54
2025-06-14T00:40:00,7011AJ7R,山溪叶家,50.17
2025-06-14T00:40:00,7011AJ8R,山溪幕下,65.59
2025-06-14T00:40:00,7011AJ9R,山溪前桐,194.12
2025-06-14T00:40:00,7011AM2G,富春江水库严陵坞,23.38
2025-06-14T00:45:00,70101500,富春江电站(坝上),23.32
2025-06-14T00:45:00,70101501,富春江坝下,7.65
2025-06-14T00:45:00,70101800,窄溪,5.17
